dataset_family_x,classname,cbo,dit,fanIn,fanOut,lcom,noc,numberOfAttributes,numberOfAttributesInherited,numberOfLinesOfCode,numberOfMethods,numberOfMethodsInherited,numberOfPrivateAttributes,numberOfPrivateMethods,numberOfPublicAttributes,numberOfPublicMethods,rfc,wmc,bugs,nonTrivialBugs,majorBugs,criticalBugs,highPriorityBugs,defects,dataset_family_y,file_module_id,code_churn,commit_count,num_developers,bugfix_commit_count,days_since_last_modified,lines_added,lines_deleted,numberOfRefactoringsUntil,maxLinesAddedUntil,avgLinesAddedUntil,maxLinesRemovedUntil,avgLinesRemovedUntil,maxCodeChurnUntil,avgCodeChurnUntil,weightedAgeWithRespectTo,numberOfBugsFoundUntil,numberOfNonTrivialBugsFoundUntil,numberOfMajorBugsFoundUntil,numberOfCriticalBugsFoundUntil,numberOfHighPriorityBugsFoundUntil,CvsEntropy,CvsWEntropy,CvsLinEntropy,CvsLogEntropy,CvsExpEntropy,repo_metrics_available
aeeem,org::eclipse::jdt::internal::core::search::indexing::IndexBinaryFolder,9,2,1,9,15,0,1,8,122.0,6.0,19,0,0,1.0,5,34.0,20.0,0,0,0,0,0,0,aeeem,org::eclipse::jdt::internal::core::search::indexing::IndexBinaryFolder,42.0,65,8,4,350.571,608.0,566.0,0,158.0,9.35385,158.0,8.70769,15.0,0.646154,63.0609,3,2,0,0,0,10.9131,0.00830197,0.0147667,0.253257,0.00112474,True
aeeem,org::eclipse::jdt::internal::compiler::codegen::CachedIndexEntry,1,1,1,0,0,0,2,0,4.0,1.0,8,0,0,2.0,1,1.0,1.0,0,0,0,0,0,0,aeeem,org::eclipse::jdt::internal::compiler::codegen::CachedIndexEntry,10.0,2,2,0,117.714,10.0,0.0,0,10.0,5.0,0.0,0.0,10.0,5.0,0.0,0,0,0,0,0,1.10349,0.000657459,0.00188573,0.027116,0.000350878,True
aeeem,org::eclipse::jdt::internal::compiler::ast::ASTNode,114,1,102,18,190,6,131,249,484.0,20.0,8,0,1,3.0,19,156.0,176.0,1,0,0,0,0,1,aeeem,org::eclipse::jdt::internal::compiler::ast::ASTNode,593.0,120,12,10,238.429,1361.0,768.0,0,99.0,11.3417,77.0,6.4,66.0,4.94167,104.204,55,48,6,4,2,37.8606,0.228509,0.10618,1.0284,0.210412,True
aeeem,org::eclipse::jdt::internal::compiler::lookup::MemberTypeBinding,5,6,1,4,10,0,0,61,33.0,5.0,207,0,0,0.0,4,18.0,12.0,0,0,0,0,0,0,aeeem,org::eclipse::jdt::internal::compiler::lookup::MemberTypeBinding,15.0,28,5,4,367.0,138.0,123.0,0,39.0,4.92857,39.0,4.39286,23.0,0.535714,112.678,3,3,0,0,0,5.86013,0.00910478,0.0101128,0.14368,0.0034853,True
aeeem,org::eclipse::jdt::internal::eval::CodeSnippetParser,23,2,1,22,820,0,7,416,673.0,41.0,8,0,2,7.0,1,174.0,115.0,0,0,0,0,0,0,aeeem,org::eclipse::jdt::internal::eval::CodeSnippetParser,-11.0,93,8,17,367.0,1870.0,1881.0,0,684.0,20.1075,692.0,20.2258,18.0,-0.11828,54.9702,15,13,1,1,0,13.596,0.0160054,0.0257509,0.338602,0.0213775,True
aeeem,org::eclipse::jdt::internal::formatter::Location,2,1,1,1,1,0,12,0,16.0,2.0,8,0,0,12.0,2,4.0,2.0,0,0,0,0,0,0,aeeem,org::eclipse::jdt::internal::formatter::Location,20.0,16,5,5,264.857,37.0,17.0,0,6.0,2.3125,6.0,1.0625,4.0,1.25,48.8224,13,13,3,0,0,4.55853,0.00199999,0.00548106,0.103103,0.000127393,True
aeeem,org::eclipse::jdt::core::dom::SingleMemberAnnotation,6,4,2,4,78,0,4,96,87.0,13.0,88,2,0,0.0,3,46.0,23.0,0,0,0,0,0,0,aeeem,org::eclipse::jdt::core::dom::SingleMemberAnnotation,461.0,30,5,5,226.0,535.0,74.0,0,142.0,17.8333,13.0,2.46667,142.0,15.3667,3.2259,5,4,0,0,0,5.59671,0.00395051,0.149865,8.07898,0.23097,True
aeeem,org::eclipse::jdt::internal::compiler::parser::NLSTag,2,1,2,0,1,0,4,0,9.0,2.0,8,0,0,4.0,2,2.0,2.0,0,0,0,0,0,0,aeeem,org::eclipse::jdt::internal::compiler::parser::NLSTag,-15.0,7,2,6,150.714,14.0,29.0,0,7.0,2.0,27.0,4.14286,4.0,-2.14286,12.1531,6,5,0,0,0,4.98774,0.00385486,0.00788835,0.120148,0.0012199,True
aeeem,org::eclipse::jdt::internal::compiler::parser::RecoveredBlock,11,3,2,9,105,0,9,119,250.0,15.0,40,0,0,9.0,13,50.0,64.0,0,0,0,0,0,0,aeeem,org::eclipse::jdt::internal::compiler::parser::RecoveredBlock,186.0,52,7,5,367.0,1075.0,889.0,0,343.0,20.6731,343.0,17.0962,68.0,3.57692,81.1875,7,6,0,0,1,11.93,0.0397218,0.170703,8.25875,0.27893,True
aeeem,org::eclipse::jdt::internal::core::CompilationUnitElementInfo,4,3,3,1,6,1,3,3,9.0,4.0,17,0,0,1.0,3,5.0,3.0,0,0,0,0,0,0,aeeem,org::eclipse::jdt::internal::core::CompilationUnitElementInfo,-16.0,23,6,5,367.0,122.0,138.0,0,42.0,5.30435,42.0,6.0,16.0,-0.695652,84.4309,1,0,0,0,1,10.7711,0.00781561,0.131699,8.15155,0.169684,True
