dataset_family_x,classname,cbo,dit,fanIn,fanOut,lcom,noc,numberOfAttributes,numberOfAttributesInherited,numberOfLinesOfCode,numberOfMethods,numberOfMethodsInherited,numberOfPrivateAttributes,numberOfPrivateMethods,numberOfPublicAttributes,numberOfPublicMethods,rfc,wmc,bugs,nonTrivialBugs,majorBugs,criticalBugs,highPriorityBugs,defects,dataset_family_y,file_module_id,code_churn,commit_count,num_developers,bugfix_commit_count,days_since_last_modified,lines_added,lines_deleted,numberOfRefactoringsUntil,maxLinesAddedUntil,avgLinesAddedUntil,maxLinesRemovedUntil,avgLinesRemovedUntil,maxCodeChurnUntil,avgCodeChurnUntil,weightedAgeWithRespectTo,numberOfBugsFoundUntil,numberOfNonTrivialBugsFoundUntil,numberOfMajorBugsFoundUntil,numberOfCriticalBugsFoundUntil,numberOfHighPriorityBugsFoundUntil,CvsEntropy,CvsWEntropy,CvsLinEntropy,CvsLogEntropy,CvsExpEntropy,repo_metrics_available
aeeem,org::eclipse::mylyn::internal::trac::core::util::TracUtil,16,1,11,5,15,0,0,0,42.0,6.0,9,0,1,0.0,5,18.0,8.0,0,0,0,0,0,0,aeeem,org::eclipse::mylyn::internal::trac::core::util::TracUtil,14.0,7,2,1,38.2857,22.0,8.0,0,10.0,3.14286,3.0,1.14286,10.0,2.0,10.5779,6,4,0,0,1,3.08906,0.00556971,0.156012,9.15957,0.247042,True
aeeem,org::eclipse::mylyn::internal::sandbox::bridge::bugs::ProgressQueryHitCollector,7,1,2,5,36,0,11,0,60.0,9.0,0,6,0,0.0,8,29.0,14.0,0,0,0,0,0,0,aeeem,org::eclipse::mylyn::internal::sandbox::bridge::bugs::ProgressQueryHitCollector,15.0,14,3,0,91.7143,60.0,45.0,0,33.0,4.28571,26.0,3.21429,7.0,1.07143,43.4024,12,6,0,0,10,8.02984,0.00770449,0.177117,9.31724,0.318043,True
aeeem,org::eclipse::mylyn::internal::jira::core::model::filter::DateRangeFilter,6,2,6,0,6,0,3,0,13.0,4.0,19,3,0,0.0,3,5.0,4.0,0,0,0,0,0,0,aeeem,org::eclipse::mylyn::internal::jira::core::model::filter::DateRangeFilter,-2.0,10,2,0,110.714,13.0,15.0,0,5.0,1.3,5.0,1.5,4.0,-0.2,56.3626,6,3,0,0,5,6.56833,0.00303072,0.155929,9.23919,0.221372,True
aeeem,org::eclipse::mylyn::internal::wikitext::textile::core::phrase::EscapeTextilePhraseModifier,2,2,1,1,6,0,0,0,12.0,4.0,22,0,0,0.0,1,6.0,3.0,0,0,0,0,0,0,aeeem,org::eclipse::mylyn::internal::wikitext::textile::core::phrase::EscapeTextilePhraseModifier,-2.0,3,2,0,32.7143,6.0,8.0,0,4.0,2.0,6.0,2.66667,0.0,-0.666667,5.42857,3,3,0,0,0,1.49003,0.00170474,0.0435179,0.121386,0.116244,True
aeeem,org::eclipse::mylyn::internal::java::ui::search::JavaImplementorsProvider,1,4,1,0,6,0,2,8,12.0,4.0,47,0,0,0.0,2,4.0,5.0,0,0,0,0,0,0,aeeem,org::eclipse::mylyn::internal::java::ui::search::JavaImplementorsProvider,0.0,4,2,0,92.4286,7.0,7.0,0,4.0,1.75,4.0,1.75,3.0,0.0,60.1428,3,0,0,0,2,3.17351,0.00112128,0.140881,9.13106,0.180758,True
aeeem,org::eclipse::mylyn::internal::jira::core::wsdl::beans::RemoteVersion,4,3,0,4,91,0,7,0,78.0,14.0,52,7,0,0.0,14,33.0,33.0,0,0,0,0,0,0,aeeem,org::eclipse::mylyn::internal::jira::core::wsdl::beans::RemoteVersion,-21.0,9,2,0,110.714,219.0,240.0,0,191.0,24.3333,212.0,26.6667,7.0,-2.33333,24.015,7,4,1,1,5,5.94514,0.0165403,0.153982,9.22122,0.218565,True
aeeem,org::eclipse::mylyn::tasklist::tests::Person,2,1,1,1,105,0,7,0,57.0,15.0,9,7,0,0.0,15,17.0,21.0,0,0,0,0,0,0,aeeem,org::eclipse::mylyn::tasklist::tests::Person,1.0,3,2,1,190.571,1.0,0.0,1,1.0,0.333333,0.0,0.0,1.0,0.333333,9.0,2,1,0,0,2,1.39346,0.0146329,0.00175047,0.0318345,5.37898e-05,True
aeeem,org::eclipse::mylyn::internal::bugzilla::ui::actions::ViewFavoriteAction,4,2,2,3,1,0,1,0,16.0,2.0,2,1,0,0.0,2,8.0,3.0,0,0,0,0,0,0,aeeem,org::eclipse::mylyn::internal::bugzilla::ui::actions::ViewFavoriteAction,0.0,3,1,0,164.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,True
aeeem,org::eclipse::mylyn::internal::tasks::ui::actions::SynchronizeSelectedAction,10,1,0,10,3,0,3,0,95.0,3.0,0,3,1,0.0,2,56.0,20.0,0,0,0,0,0,0,aeeem,org::eclipse::mylyn::internal::tasks::ui::actions::SynchronizeSelectedAction,36.0,39,3,0,139.429,281.0,245.0,0,98.0,7.20513,37.0,6.28205,61.0,0.923077,40.9451,29,14,2,1,20,17.9092,0.16453,0.237774,9.65395,0.442279,True
aeeem,org::eclipse::mylyn::internal::jira::core::model::Subtask,3,1,3,0,3,0,3,0,10.0,3.0,18,3,0,0.0,3,3.0,3.0,0,0,0,0,0,0,aeeem,org::eclipse::mylyn::internal::jira::core::model::Subtask,1.0,6,2,0,93.2857,10.0,9.0,0,5.0,1.66667,4.0,1.5,4.0,0.166667,41.2714,4,2,0,0,2,4.58293,0.00233645,0.145075,9.17116,0.186189,True
