dataset_family,file_module_id,code_churn,commit_count,num_developers,bugfix_commit_count,days_since_last_modified,lines_added,lines_deleted,numberOfRefactoringsUntil,maxLinesAddedUntil,avgLinesAddedUntil,maxLinesRemovedUntil,avgLinesRemovedUntil,maxCodeChurnUntil,avgCodeChurnUntil,weightedAgeWithRespectTo,numberOfBugsFoundUntil,numberOfNonTrivialBugsFoundUntil,numberOfMajorBugsFoundUntil,numberOfCriticalBugsFoundUntil,numberOfHighPriorityBugsFoundUntil,CvsEntropy,CvsWEntropy,CvsLinEntropy,CvsLogEntropy,CvsExpEntropy
aeeem,ext::framework::a::importer::Activator,10.0,2,1,0,40.8571,10.0,0.0,0,10.0,5.0,0.0,0.0,10.0,5.0,3.14286,1,1,0,0,0,1.11258,0.0301612,0.00568177,0.0373952,0.0173512
aeeem,org::eclipse::osgi::framework::internal::reliablefile::ReliableFile,300.0,18,7,4,239.143,1431.0,1131.0,1,532.0,79.5,552.0,62.8333,394.0,16.6667,37.3797,5,4,0,0,0,7.60794,0.501074,0.010183,0.176179,0.000657449
aeeem,org::osgi::framework::ServiceEvent,5.0,14,4,1,239.143,342.0,337.0,0,130.0,24.4286,123.0,24.0714,8.0,0.357143,70.6278,3,3,0,0,0,6.44925,0.113243,0.0108567,0.156537,0.00528038
aeeem,org::eclipse::osgi::framework::internal::core::BundleProtectionDomainImpl,-46.0,4,2,0,178.857,3.0,49.0,0,3.0,0.75,44.0,12.25,0.0,-11.5,4.57143,0,0,0,0,0,3.0823,0.0196326,0.00357232,0.0691437,6.14191e-05
aeeem,substitutes::z::Fz,0.0,1,1,0,19.1429,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0
aeeem,circularity::test::Activator,0.0,1,1,0,85.1429,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0
aeeem,org::eclipse::osgi::framework::internal::core::ConditionalPermissionSet,98.0,14,2,4,178.857,195.0,97.0,1,82.0,13.9286,73.0,6.92857,27.0,7.0,23.8447,7,7,0,0,0,9.01949,0.2172,0.0113774,0.206164,0.000414905
aeeem,org::eclipse::osgi::internal::module::BundleConstraint,123.0,7,3,1,180.0,211.0,88.0,0,95.0,30.1429,43.0,12.5714,95.0,17.5714,2.52539,1,1,0,0,0,5.09157,0.0549516,0.00754879,0.119792,0.00316005
aeeem,org::eclipse::osgi::internal::resolver::SystemState,19.0,11,5,2,237.714,102.0,83.0,0,31.0,9.27273,40.0,7.54545,27.0,1.72727,59.7899,6,5,1,0,0,5.94951,0.184141,0.0093872,0.142004,0.00494446
aeeem,org::eclipse::osgi::internal::module::VersionSupplier,85.0,7,3,0,180.0,100.0,15.0,0,42.0,14.2857,7.0,2.14286,38.0,12.1429,30.1943,2,2,0,0,0,5.76365,0.0340833,0.0224321,0.168368,0.068437
aeeem,org::osgi::framework::ServicePermission,-70.0,13,4,1,239.143,1117.0,1187.0,0,492.0,85.9231,520.0,91.3077,8.0,-5.38462,62.685,3,3,0,0,0,6.44925,0.157973,0.0108567,0.156537,0.00528038
aeeem,org::eclipse::osgi::framework::internal::core::FrameworkProperties,0.0,3,2,0,127.143,1.0,1.0,1,1.0,0.333333,1.0,0.333333,0.0,0.0,10.4286,1,0,0,0,0,1.27192,0.00403564,0.00217381,0.0312557,0.000404701
aeeem,nativetest::d::Activator,0.0,1,1,0,42.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0
aeeem,substitutes::y::Ay,0.0,1,1,0,19.1429,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0
aeeem,org::eclipse::osgi::framework::internal::core::ConsoleMsg,123.0,10,5,0,239.143,206.0,83.0,0,169.0,20.6,36.0,8.3,133.0,12.3,68.6332,4,4,0,0,0,4.84372,0.160196,0.0123027,0.130076,0.0170805
aeeem,substitutes::x::Kx,0.0,1,1,0,19.1429,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0
aeeem,org::eclipse::equinox::launcher::Main,255.0,44,3,3,81.1429,2587.0,2332.0,0,2021.0,58.7955,2011.0,53.0,65.0,5.79545,32.9348,29,27,4,2,1,15.3228,1.77892,0.0759116,0.503466,0.22302
aeeem,nativetest::b2::Activator,0.0,1,1,0,53.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0
aeeem,org::eclipse::osgi::internal::baseadaptor::DefaultClassLoader,480.0,8,1,0,125.857,499.0,19.0,0,237.0,62.375,10.0,2.375,237.0,60.0,3.11451,4,4,1,1,0,7.7601,0.231255,0.0191814,0.206167,0.0277314
aeeem,org::eclipse::osgi::framework::internal::core::StartLevelEvent,-28.0,9,6,1,239.143,74.0,102.0,1,49.0,8.22222,50.0,11.3333,0.0,-3.11111,12.5,1,1,1,1,0,3.36934,0.0233368,0.00504088,0.0799243,0.000804404
aeeem,org::eclipse::equinox::internal::launcher::Constants,6.0,2,1,0,81.0,7.0,1.0,0,7.0,3.5,1.0,0.5,6.0,3.0,14.0,1,1,0,0,0,1.05668,0.0126795,0.00315071,0.030079,0.00408372
aeeem,org::eclipse::osgi::tests::appadmin::SimpleApp,0.0,1,1,0,39.7143,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0
