dataset_family,file_module_id,code_churn,commit_count,num_developers,bugfix_commit_count,days_since_last_modified,lines_added,lines_deleted,numberOfRefactoringsUntil,maxLinesAddedUntil,avgLinesAddedUntil,maxLinesRemovedUntil,avgLinesRemovedUntil,maxCodeChurnUntil,avgCodeChurnUntil,weightedAgeWithRespectTo,numberOfBugsFoundUntil,numberOfNonTrivialBugsFoundUntil,numberOfMajorBugsFoundUntil,numberOfCriticalBugsFoundUntil,numberOfHighPriorityBugsFoundUntil,CvsEntropy,CvsWEntropy,CvsLinEntropy,CvsLogEntropy,CvsExpEntropy
aeeem,org::apache::lucene::search::spans::SpanOrQuery,0.0,12,6,1,244.714,12.0,12.0,0,1.0,1.0,1.0,1.0,0.0,0.0,95.4643,3,3,0,0,0,10.4552,0.0654643,0.0459837,0.312237,0.102246
aeeem,org::apache::lucene::index::DocumentsWriter,-1372.0,49,3,9,66.0,2311.0,3683.0,1,644.0,47.1633,2030.0,75.1633,218.0,-28.0,35.1323,42,42,0,0,0,13.9297,1.5636,0.121367,3.64623,0.318946
aeeem,org::apache::lucene::document::Document,186.0,32,10,4,368.143,424.0,238.0,0,58.0,13.25,51.0,7.4375,51.0,5.8125,168.949,9,9,0,0,0,9.3931,0.127039,0.0877331,0.400665,0.210511
aeeem,org::apache::lucene::search::highlight::SimpleSpanFragmenter,0.0,2,2,0,23.1429,2.0,2.0,0,1.0,1.0,1.0,1.0,0.0,0.0,8.07143,2,2,0,0,0,2.46341,0.00545206,0.0399775,0.135853,0.132707
aeeem,org::apache::lucene::ant::FileExtensionDocumentHandler,0.0,2,1,1,325.857,2.0,2.0,0,1.0,1.0,1.0,1.0,0.0,0.0,39.7857,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
aeeem,org::apache::lucene::analysis::Token,748.0,24,9,4,368.143,999.0,251.0,0,468.0,41.625,69.0,10.4583,420.0,31.1667,314.776,13,13,0,0,0,16.4641,0.612773,0.0871962,0.542911,0.230256
aeeem,org::apache::lucene::search::FieldDoc,11.0,7,4,0,242.143,30.0,19.0,0,20.0,4.28571,9.0,2.71429,11.0,1.57143,32.4762,1,1,0,0,0,4.24084,0.00884444,0.0566766,0.217954,0.10808
aeeem,org::tartarus::snowball::ext::DanishStemmer,0.0,1,1,0,6.57143,1.0,1.0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1,0,0,0,1.35264,0.000832763,0.0350566,0.101164,0.0995792
aeeem,org::apache::lucene::search::SortField,112.0,14,7,2,242.143,134.0,22.0,0,36.0,9.57143,5.0,1.57143,33.0,8.0,50.0437,4,4,0,0,0,6.60956,0.0283922,0.0719954,0.30796,0.153127
aeeem,org::apache::lucene::document::AbstractField,66.0,6,3,1,121.571,349.0,283.0,0,274.0,58.1667,274.0,47.1667,38.0,11.0,103.953,4,4,0,0,0,5.34192,0.126545,0.103812,0.341011,0.279462
aeeem,org::apache::lucene::benchmark::byTask::utils::Config,80.0,10,4,0,90.5714,422.0,342.0,0,324.0,42.2,324.0,34.2,49.0,8.0,15.8812,6,6,0,0,0,7.7902,0.171935,0.0220847,0.218167,0.0274878
aeeem,org::apache::lucene::benchmark::quality::utils::DocNameExtractor,0.0,1,1,0,62.7143,1.0,1.0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1,0,0,0,1.17486,0.000965682,0.00361796,0.0337529,0.00505055
aeeem,org::apache::lucene::analysis::cjk::CJKAnalyzer,0.0,5,3,0,250.143,5.0,5.0,0,1.0,1.0,1.0,1.0,0.0,0.0,13.9429,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
aeeem,org::apache::lucene::search::HitIterator,1.0,6,4,1,180.143,14.0,13.0,0,6.0,2.33333,6.0,2.16667,2.0,0.166667,57.3265,2,2,0,0,0,5.50819,0.0336513,0.0687709,0.271872,0.157142
aeeem,org::apache::lucene::misc::HighFreqTerms,0.0,3,2,1,307.429,3.0,3.0,0,1.0,1.0,1.0,1.0,0.0,0.0,40.4286,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
aeeem,org::apache::lucene::index::FormatPostingsDocsConsumer,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
aeeem,org::apache::lucene::search::IndexSearcher,-6.0,36,11,4,368.143,291.0,297.0,0,39.0,8.08333,51.0,8.25,39.0,-0.166667,164.852,5,5,0,0,0,11.5269,0.350981,0.0842299,3.50814,0.113609
aeeem,org::apache::lucene::store::db::DbIndexOutput,0.0,2,1,0,179.286,2.0,2.0,0,1.0,1.0,1.0,1.0,0.0,0.0,15.2143,0,0,0,0,0,2.56045,0.00833997,0.00309243,0.0579449,8.74499e-05
aeeem,org::apache::lucene::search::highlight::TokenGroup,0.0,1,1,0,219.286,1.0,1.0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
aeeem,org::apache::lucene::index::MergeDocIDRemapper,0.0,1,1,0,30.8571,1.0,1.0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,1,0,0,0,0.871061,0.00164027,0.00523142,0.0309637,0.0182075
aeeem,org::apache::lucene::benchmark::byTask::tasks::RepSelectByPrefTask,31.0,3,2,0,90.5714,76.0,45.0,0,42.0,25.3333,42.0,15.0,31.0,10.3333,10.3929,1,1,0,0,0,3.28866,0.0163189,0.00774168,0.0876976,0.00527147
aeeem,org::apache::lucene::analysis::PorterStemFilter,-40.0,8,5,1,368.143,79.0,119.0,0,26.0,9.875,51.0,14.875,1.0,-5.0,137.492,2,2,0,0,0,4.2341,0.0216663,0.0385326,0.170244,0.106043
