dataset_family,file_module_id,code_churn,commit_count,num_developers,bugfix_commit_count,days_since_last_modified,lines_added,lines_deleted,numberOfRefactoringsUntil,maxLinesAddedUntil,avgLinesAddedUntil,maxLinesRemovedUntil,avgLinesRemovedUntil,maxCodeChurnUntil,avgCodeChurnUntil,weightedAgeWithRespectTo,numberOfBugsFoundUntil,numberOfNonTrivialBugsFoundUntil,numberOfMajorBugsFoundUntil,numberOfCriticalBugsFoundUntil,numberOfHighPriorityBugsFoundUntil,CvsEntropy,CvsWEntropy,CvsLinEntropy,CvsLogEntropy,CvsExpEntropy
aeeem,org::eclipse::pde::internal::core::text::toc::TocAnchor,161.0,5,2,0,59.5714,185.0,24.0,0,95.0,37.0,20.0,4.8,95.0,32.2,0.96139,0,0,0,0,0,3.71677,0.0116199,0.0160982,0.117977,0.0417074
aeeem,org::eclipse::pde::internal::ui::editor::SystemFileEditorInputFactory,10.0,10,7,1,335.286,22.0,12.0,0,10.0,2.2,3.0,1.2,10.0,1.0,121.584,0,0,0,0,0,6.41569,0.00243687,0.0163241,0.169334,0.0343568
aeeem,org::eclipse::pde::internal::ui::editor::cheatsheet::simple::actions::SimpleCSRemoveRunObjectAction,-7.0,2,2,0,103.429,8.0,15.0,0,8.0,4.0,15.0,7.5,0.0,-3.5,69.2857,1,1,0,0,0,1.76682,0.000573661,0.0100966,0.0617154,0.0339284
aeeem,org::eclipse::pde::internal::ui::editor::outline::QuickOutlineNamePatternFilter,-8.0,2,2,0,92.2857,10.0,18.0,0,10.0,5.0,18.0,9.0,0.0,-4.0,58.1429,1,0,0,0,0,1.76682,0.000698369,0.0100966,0.0617154,0.0339284
aeeem,org::eclipse::pde::internal::ui::tests::macro::FocusCommand,3.0,5,3,0,183.857,14.0,11.0,0,6.0,2.8,5.0,2.2,2.0,0.6,103.633,0,0,0,0,0,6.01575,0.00555764,0.0177997,0.167057,0.0373325
aeeem,org::eclipse::pde::internal::ui::build::ProductExportJob,-248.0,75,5,0,188.143,1019.0,1267.0,0,107.0,13.5867,559.0,16.8933,104.0,-3.30667,16.434,8,5,0,0,0,21.9852,0.487638,0.0409818,0.542209,0.0434607
aeeem,org::eclipse::pde::internal::ui::PDEUIMessages,1473.0,410,8,15,178.714,2715.0,1242.0,7,81.0,6.62195,326.0,3.02927,81.0,3.59268,68.0586,232,143,7,0,0,58.1518,0.575244,0.287622,5.64663,0.595488
aeeem,org::eclipse::pde::internal::ui::wizards::tools::ConvertedProjectWizard,4.0,10,5,0,240.714,42.0,38.0,0,17.0,4.2,18.0,3.8,3.0,0.4,115.966,1,1,0,0,0,7.72196,0.00473706,0.0177746,0.198359,0.0343746
aeeem,org::eclipse::pde::internal::ui::correction::OrganizeExportPackageResolution,1.0,8,3,1,150.429,21.0,20.0,1,10.0,2.625,6.0,2.5,10.0,0.125,32.0612,1,0,0,0,0,6.4354,0.00661633,0.0172875,0.173563,0.0347422
aeeem,org::eclipse::pde::internal::ui::views::plugins::JavaSearchOperation,-39.0,5,3,0,85.2857,12.0,51.0,0,8.0,2.4,46.0,10.2,6.0,-7.8,31.7857,3,3,0,0,0,4.51037,0.00871249,0.0197511,0.14367,0.0516451
