source_dataset,target_dataset,feature_set,model,n_source_rows,n_target_rows,n_common_features,accuracy,precision,recall,f1,mcc,balanced_acc,auc_roc,pr_auc
aeeem_eclipse,aeeem_equinox,static,logistic_regression,997,324,17,0.6635802469135802,0.6851851851851852,0.2868217054263566,0.40437158469945356,0.2622320593514444,0.5998211091234347,0.6034585569469291,0.5670797406920898
aeeem_eclipse,aeeem_equinox,static,random_forest,997,324,17,0.6759259259259259,0.74,0.2868217054263566,0.4134078212290503,0.2983187200523318,0.610077519379845,0.6544027032399125,0.6108156228066026
aeeem_eclipse,aeeem_equinox,static,xgboost,997,324,17,0.6820987654320988,0.8095238095238095,0.26356589147286824,0.39766081871345027,0.3243183590358893,0.6112701252236137,0.6578612601868414,0.6301418182262284
aeeem_eclipse,aeeem_equinox,static,lightgbm,997,324,17,0.6728395061728395,0.7555555555555555,0.26356589147286824,0.39080459770114945,0.29322470214959456,0.6035778175313059,0.6440866626913138,0.6110210312726672
aeeem_eclipse,aeeem_lucene,static,logistic_regression,997,691,17,0.8422575976845152,0.10526315789473684,0.09375,0.09917355371900827,0.013077463861843054,0.5062051435406698,0.46516148325358847,0.09224327211192188
aeeem_eclipse,aeeem_lucene,static,random_forest,997,691,17,0.8784370477568741,0.2222222222222222,0.125,0.16,0.10480919258717918,0.5401714513556619,0.6143590510366826,0.1852755296137697
aeeem_eclipse,aeeem_lucene,static,xgboost,997,691,17,0.8798842257597684,0.22857142857142856,0.125,0.16161616161616163,0.10832335675678968,0.5409688995215312,0.5787978468899522,0.17925028033407342
aeeem_eclipse,aeeem_lucene,static,lightgbm,997,691,17,0.8683068017366136,0.18604651162790697,0.125,0.14953271028037382,0.0830183263307421,0.5345893141945773,0.5903359250398724,0.18894963172426765
aeeem_eclipse,aeeem_pde,static,logistic_regression,997,1497,17,0.7995991983967936,0.29777777777777775,0.32057416267942584,0.3087557603686636,0.19193289637183117,0.5989516776130048,0.5983925971054118,0.25824809478001637
aeeem_eclipse,aeeem_pde,static,random_forest,997,1497,17,0.8483633934535738,0.41818181818181815,0.22009569377990432,0.2884012539184953,0.22635079694696428,0.5852031263930577,0.6804232666646853,0.29588552789968026
aeeem_eclipse,aeeem_pde,static,xgboost,997,1497,17,0.8463593854375417,0.39805825242718446,0.19617224880382775,0.26282051282051283,0.2026969677630304,0.5740178014205474,0.679076644179619,0.29264889746253825
aeeem_eclipse,aeeem_pde,static,lightgbm,997,1497,17,0.8430193720774883,0.39166666666666666,0.22488038277511962,0.2857142857142857,0.21468819222298174,0.5841016820707896,0.6637158607982407,0.271924980902128
aeeem_eclipse,aeeem_mylyn,static,logistic_regression,997,1862,17,0.8485499462943072,0.36496350364963503,0.20408163265306123,0.2617801047120419,0.19457161001045187,0.575139146567718,0.6199247788169071,0.2561363860894676
aeeem_eclipse,aeeem_mylyn,static,random_forest,997,1862,17,0.8657357679914071,0.4666666666666667,0.14285714285714285,0.21875,0.20308062509856828,0.5590599876314162,0.6516249542488611,0.2751686051065657
aeeem_eclipse,aeeem_mylyn,static,xgboost,997,1862,17,0.8678839957035446,0.4931506849315068,0.1469387755102041,0.22641509433962265,0.216068949558294,0.5620284477427335,0.6264712935266872,0.28124798273070095
aeeem_eclipse,aeeem_mylyn,static,lightgbm,997,1862,17,0.8619763694951665,0.43023255813953487,0.1510204081632653,0.22356495468277945,0.19441829905586905,0.5603586889301175,0.6342672876200572,0.2792053265004598
aeeem_equinox,aeeem_lucene,static,logistic_regression,324,691,17,0.5586107091172214,0.13149847094801223,0.671875,0.21994884910485935,0.12711401610814776,0.609462220893142,0.6512659489633172,0.17326992869119234
aeeem_equinox,aeeem_lucene,static,random_forest,324,691,17,0.5369030390738061,0.12352941176470589,0.65625,0.2079207920792079,0.10493961593746257,0.5904854465709729,0.639815091706539,0.16143550321991398
aeeem_equinox,aeeem_lucene,static,xgboost,324,691,17,0.5426917510853835,0.12048192771084337,0.625,0.20202020202020202,0.09242655006406561,0.5796451355661882,0.6077551834130781,0.13871794960799527
aeeem_equinox,aeeem_lucene,static,lightgbm,324,691,17,0.5369030390738061,0.12130177514792899,0.640625,0.20398009950248755,0.09681452467152282,0.583470394736842,0.606359649122807,0.12383230026653472
aeeem_equinox,aeeem_eclipse,static,logistic_regression,324,997,17,0.38515546639919757,0.24076433121019108,0.9174757281553398,0.38143289606458125,0.16227835658826684,0.5819995581358242,0.6227216378432119,0.31247588563621975
aeeem_equinox,aeeem_eclipse,static,random_forest,324,997,17,0.43430290872617855,0.25,0.8689320388349514,0.3882863340563991,0.17102815514068265,0.5950222773188664,0.6944018263719269,0.4430873774969572
