dataset,feature_set,feature,defect_correlation
aeeem_eclipse,static,bugs,0.706360619182534
aeeem_eclipse,static,fanOut,0.4468404954685883
aeeem_eclipse,static,cbo,0.38263004001155504
aeeem_eclipse,static,wmc,0.37710379555382995
aeeem_eclipse,static,numberOfLinesOfCode,0.36157930577716885
aeeem_eclipse,static,rfc,0.3558951905026131
aeeem_eclipse,static,majorBugs,0.31426173469266866
aeeem_eclipse,static,numberOfMethods,0.28999247818974605
aeeem_eclipse,static,numberOfAttributes,0.2616693202029606
aeeem_eclipse,static,nonTrivialBugs,0.24390323844328826
aeeem_eclipse,static,numberOfPrivateMethods,0.2382419112039844
aeeem_eclipse,static,numberOfPublicMethods,0.22861086571284148
aeeem_eclipse,static,fanIn,0.2189558183124257
aeeem_eclipse,static,criticalBugs,0.19724048203454345
aeeem_eclipse,static,numberOfPublicAttributes,0.17751402001894054
aeeem_eclipse,static,lcom,0.16006340598366414
aeeem_eclipse,static,numberOfPrivateAttributes,0.08893822029086809
aeeem_eclipse,static,highPriorityBugs,0.0833365851247466
aeeem_eclipse,static,noc,0.04405512713175633
aeeem_eclipse,static,numberOfAttributesInherited,0.028741267983743757
aeeem_eclipse,static,dit,-0.016988013894470154
aeeem_eclipse,static,numberOfMethodsInherited,0.006507281055010118
aeeem_equinox,static,bugs,0.6362086501622317
aeeem_equinox,static,cbo,0.44876580358534923
aeeem_equinox,static,numberOfMethods,0.4283247101413093
aeeem_equinox,static,fanOut,0.39808948405006905
aeeem_equinox,static,wmc,0.3753924588931202
aeeem_equinox,static,numberOfLinesOfCode,0.36291412132535633
aeeem_equinox,static,numberOfPublicMethods,0.35940667023066847
aeeem_equinox,static,rfc,0.342215272505905
aeeem_equinox,static,numberOfMethodsInherited,0.3160469236050701
aeeem_equinox,static,lcom,0.3149820382818135
aeeem_equinox,static,fanIn,0.314292387142676
aeeem_equinox,static,numberOfPrivateAttributes,0.280346633734873
aeeem_equinox,static,numberOfPrivateMethods,0.2626374298440073
aeeem_equinox,static,dit,0.2336314847942755
aeeem_equinox,static,numberOfAttributes,0.20188411796092112
aeeem_equinox,static,numberOfAttributesInherited,0.18543200105531946
aeeem_equinox,static,majorBugs,0.13746035369228934
aeeem_equinox,static,nonTrivialBugs,0.11885858663388639
aeeem_equinox,static,noc,0.10376299652363834
aeeem_equinox,static,criticalBugs,0.06841025186548806
aeeem_equinox,static,numberOfPublicAttributes,-0.02430258103951865
aeeem_lucene,static,bugs,0.7403395079226585
aeeem_lucene,static,numberOfMethods,0.2524075020505397
aeeem_lucene,static,fanOut,0.212467960734904
aeeem_lucene,static,lcom,0.210700687735969
aeeem_lucene,static,rfc,0.2102535466101536
aeeem_lucene,static,numberOfPublicMethods,0.20543317662258848
aeeem_lucene,static,cbo,0.20182755027283666
aeeem_lucene,static,noc,0.18511165958501397
aeeem_lucene,static,numberOfAttributes,0.17316122755791308
aeeem_lucene,static,numberOfPrivateAttributes,0.15942290475237877
aeeem_lucene,static,fanIn,0.15515423813663015
aeeem_lucene,static,wmc,0.10799475404039044
aeeem_lucene,static,numberOfLinesOfCode,0.10669502025668672
aeeem_lucene,static,numberOfPublicAttributes,0.09129734679104616
aeeem_lucene,static,numberOfPrivateMethods,0.06395667231622727
aeeem_lucene,static,numberOfMethodsInherited,0.03982420239227376
aeeem_lucene,static,numberOfAttributesInherited,0.005856059786984197
aeeem_lucene,static,dit,-0.0015824962096833216
aeeem_mylyn,static,bugs,0.7832493653816616
aeeem_mylyn,static,nonTrivialBugs,0.6108169409935358
aeeem_mylyn,static,highPriorityBugs,0.35091915833525855
aeeem_mylyn,static,fanOut,0.32933732540595256
aeeem_mylyn,static,majorBugs,0.25382112341135943
aeeem_mylyn,static,numberOfPrivateMethods,0.24870143061672845
aeeem_mylyn,static,rfc,0.2375080781238329
aeeem_mylyn,static,numberOfAttributes,0.22588645772897661
aeeem_mylyn,static,cbo,0.21221379523594017
aeeem_mylyn,static,numberOfPrivateAttributes,0.20784030475451398
aeeem_mylyn,static,wmc,0.184492541934492
aeeem_mylyn,static,numberOfMethods,0.15793314642232956
aeeem_mylyn,static,numberOfLinesOfCode,0.14929952325114193
aeeem_mylyn,static,criticalBugs,0.1032031374230672
aeeem_mylyn,static,fanIn,0.1003197550497567
aeeem_mylyn,static,numberOfPublicAttributes,0.09627404298788009
aeeem_mylyn,static,numberOfPublicMethods,0.09568363818182926
aeeem_mylyn,static,lcom,0.09510850189204724
aeeem_mylyn,static,numberOfMethodsInherited,-0.04147877962786531
aeeem_mylyn,static,numberOfAttributesInherited,0.037540202152792655
aeeem_mylyn,static,noc,-0.009125568356839413
aeeem_mylyn,static,dit,-0.006383122373284623
aeeem_pde,static,bugs,0.5916877144009414
aeeem_pde,static,majorBugs,0.4542154204409641
aeeem_pde,static,rfc,0.27759509614938105
aeeem_pde,static,numberOfLinesOfCode,0.2611227605183824
aeeem_pde,static,fanOut,0.25120226256546957
aeeem_pde,static,wmc,0.24460617744653604
aeeem_pde,static,nonTrivialBugs,0.21249608396295896
aeeem_pde,static,numberOfMethods,0.2115655934264809
aeeem_pde,static,numberOfPrivateMethods,0.21040586616363552
aeeem_pde,static,cbo,0.18478265367582786
aeeem_pde,static,numberOfPrivateAttributes,0.17942484611825157
aeeem_pde,static,lcom,0.17163762070924207
aeeem_pde,static,criticalBugs,0.15747861693608403
aeeem_pde,static,dit,-0.11412429920515357
aeeem_pde,static,numberOfAttributes,0.09094862619520276
aeeem_pde,static,fanIn,0.08172014240860363
aeeem_pde,static,numberOfMethodsInherited,-0.07365586054802267
aeeem_pde,static,numberOfPublicMethods,0.072271141316937
aeeem_pde,static,numberOfPublicAttributes,0.06950010790922241
aeeem_pde,static,noc,-0.03368939215740996
aeeem_pde,static,numberOfAttributesInherited,-0.02334185998237079
cm1,static,LOC_COMMENTS,0.30161432395789367
cm1,static,HALSTEAD_CONTENT,0.24261504303203854
cm1,static,NUM_UNIQUE_OPERANDS,0.2405915496172517
cm1,static,NUM_UNIQUE_OPERATORS,0.22754051333952965
cm1,static,LOC_EXECUTABLE,0.22244367228118153
cm1,static,NUMBER_OF_LINES,0.21766038611320526
cm1,static,CALL_PAIRS,0.21738361006027093
cm1,static,NUM_OPERATORS,0.20203100480913327
cm1,static,HALSTEAD_LENGTH,0.19876212701023754
cm1,static,LOC_TOTAL,0.19863520366709858
cm1,static,HALSTEAD_ERROR_EST,0.19248924160347722
cm1,static,HALSTEAD_VOLUME,0.1921514271338281
cm1,static,NUM_OPERANDS,0.19180744798983076
cm1,static,NORMALIZED_CYLOMATIC_COMPLEXITY,-0.1774725068560814
cm1,static,DESIGN_COMPLEXITY,0.17134249986473046
cm1,static,PERCENT_COMMENTS,0.16655971730875394
cm1,static,CYCLOMATIC_DENSITY,-0.161908110897952
cm1,static,MODIFIED_CONDITION_COUNT,0.15260755691993222
cm1,static,CONDITION_COUNT,0.15219321449104578
cm1,static,HALSTEAD_DIFFICULTY,0.15103157064755393
cm1,static,DECISION_COUNT,0.15088251085234738
cm1,static,MULTIPLE_CONDITION_COUNT,0.15080211342422778
cm1,static,BRANCH_COUNT,0.1496557495142516
cm1,static,EDGE_COUNT,0.14927045455160662
cm1,static,NODE_COUNT,0.14829721979726276
cm1,static,CYCLOMATIC_COMPLEXITY,0.14558966826940742
cm1,static,HALSTEAD_LEVEL,-0.14519302190041378
cm1,static,LOC_BLANK,0.12874745158886036
cm1,static,DESIGN_DENSITY,0.10121341599045706
cm1,static,ESSENTIAL_COMPLEXITY,0.09154235154856288
cm1,static,HALSTEAD_PROG_TIME,0.08898834286883789
cm1,static,HALSTEAD_EFFORT,0.08898832032519596
cm1,static,MAINTENANCE_SEVERITY,-0.08403868497652414
cm1,static,PARAMETER_COUNT,0.049457183159082305
cm1,static,LOC_CODE_AND_COMMENT,0.023018275850566684
cm1,static,DECISION_DENSITY,0.02277226995293393
cm1,static,ESSENTIAL_DENSITY,0.0022835546191278936
kc1,static,maxNUM_UNIQUE_OPERANDS,0.5643601704198553
kc1,static,maxNUM_UNIQUE_OPERATORS,0.5505901643284934
kc1,static,COUPLING_BETWEEN_OBJECTS,0.52656939035775
kc1,static,maxHALSTEAD_DIFFICULTY,0.5218996105572044
kc1,static,maxNUM_OPERANDS,0.48239704616881446
