dataset,feature_set,model,popt20
cm1,static,logistic_regression,0.6923
cm1,static,random_forest,0.4615
cm1,static,xgboost,0.4615
cm1,static,lightgbm,0.3846
kc1,static,logistic_regression,0.0556
kc1,static,random_forest,0.0556
kc1,static,xgboost,0.0556
kc1,static,lightgbm,0.0556
pc1,static,logistic_regression,0.2222
pc1,static,random_forest,0.4444
pc1,static,xgboost,0.3889
pc1,static,lightgbm,0.4444
pc3,static,logistic_regression,0.3542
pc3,static,random_forest,0.3333
pc3,static,xgboost,0.2708
pc3,static,lightgbm,0.2708
aeeem_eclipse,hybrid,logistic_regression,0.4839
aeeem_eclipse,hybrid,random_forest,0.5161
aeeem_eclipse,hybrid,xgboost,0.5161
aeeem_eclipse,hybrid,lightgbm,0.4516
aeeem_equinox,hybrid,logistic_regression,0.4615
aeeem_equinox,hybrid,random_forest,0.5128
aeeem_equinox,hybrid,xgboost,0.5128
aeeem_equinox,hybrid,lightgbm,0.4359
aeeem_lucene,hybrid,logistic_regression,0.5263
aeeem_lucene,hybrid,random_forest,0.5789
aeeem_lucene,hybrid,xgboost,0.4211
aeeem_lucene,hybrid,lightgbm,0.3684
