evaluation_type,feature_set,model,auc_roc,f1,mcc,accuracy,precision,recall,balanced_acc,pr_auc,model_annotated
within-project,hybrid,lightgbm,0.8216478978263815,0.5067247474397304,0.405909422023545,0.8417760585619339,0.5219223201273749,0.5007454467715792,0.6980863011010026,0.5483514052431901,**lightgbm** (*)
within-project,hybrid,logistic_regression,0.7617191187007951,0.46764753962035066,0.34218974434418237,0.7772687174552164,0.40835772733950265,0.5799015041288561,0.6953533724142031,0.5103396571860435,logistic_regression
within-project,hybrid,random_forest,0.8312562167997065,0.5221002419579837,0.42385452216665775,0.844344590530266,0.5241517347260664,0.5305498008959681,0.7113112960270896,0.5477852480354388,**random_forest** (*)
within-project,hybrid,xgboost,0.8228635342507292,0.5218606517176176,0.41325979001497737,0.8312677766038934,0.5049508879473241,0.5490142174318132,0.7119038650251772,0.550850293536486,**xgboost** (*)
within-project,static,lightgbm,0.7871350590154162,0.4500383893205366,0.3350902219440613,0.8223372397122649,0.4587495199819132,0.45951727595005765,0.6653803631585163,0.48176520886918567,**lightgbm** (*)
within-project,static,logistic_regression,0.759995484695821,0.44649717161018576,0.3242242432244895,0.7631723489768371,0.37773610474690966,0.6001035131202088,0.6963162404113891,0.4724943529146491,logistic_regression
within-project,static,random_forest,0.7971427055650531,0.44256216608998017,0.3256361764047044,0.8184620496299058,0.43636459974864333,0.46557555352764407,0.664225797667946,0.48245683356397273,**random_forest** (*)
within-project,static,xgboost,0.7899727531823396,0.45041824529940055,0.3295592686678185,0.8110809532774392,0.42694106836305523,0.4938082368066399,0.673248620039453,0.4808480700167159,**xgboost** (*)
cross-project,hybrid,lightgbm,0.6730259218754859,0.3133730302855185,0.19650618041353535,0.7018123542380013,0.3668413872493877,0.41410076201857465,0.5989867288235665,0.36957515365995114,**lightgbm** (*)
cross-project,hybrid,logistic_regression,0.5579443847035026,0.2841219855979391,0.11644100147976119,0.6092023816400073,0.2738164262903289,0.4643822253582634,0.5626528236041299,0.30480658756642737,logistic_regression
cross-project,hybrid,random_forest,0.7056912991792388,0.29778297819117017,0.21603709550731143,0.7315004929266442,0.43023688478316374,0.3708087833171184,0.600771875755006,0.3927261751534008,**random_forest** (*)
cross-project,hybrid,xgboost,0.6725253868825437,0.32796501298390485,0.20262404666299627,0.689973652775058,0.3602914639112284,0.44764753593262385,0.6046834742479128,0.3663374096720903,**xgboost** (*)
cross-project,static,lightgbm,0.6630185960418084,0.30115023415338527,0.17971360264324007,0.7468241430934559,0.33435935021989227,0.3513416826281014,0.5868832438217638,0.31440894458758933,**lightgbm** (*)
cross-project,static,logistic_regression,0.6178950689550338,0.3062743386410052,0.17045060064200196,0.7055859091079062,0.29324776629262356,0.4307723888143472,0.5961416588771986,0.29172279301982756,logistic_regression
cross-project,static,random_forest,0.6880111988858069,0.28980068632505096,0.1867397170820008,0.7583657369152773,0.3647585606918034,0.3216156304129899,0.584491283138876,0.325457275367722,**random_forest** (*)
cross-project,static,xgboost,0.6656063617226871,0.31160653103235425,0.18389988977039357,0.7342150736729249,0.32982150145903816,0.39380058792640593,0.5938476454661697,0.3167568807739282,**xgboost** (*)
